#{"t_start": 1530713429.4165452, "env_id": "Humanoid-v2"}
r,l,t
425.666581,81,104.052068
420.577073,80,104.182274
289.267213,55,104.266593
326.112789,63,104.354644
354.22462,75,104.472516
299.843899,62,104.566363
272.669002,54,104.649441
625.7754,122,104.839766
361.471511,92,104.980138
275.235297,61,105.070669
315.454489,62,105.176098
350.506628,69,105.295378
238.792077,50,105.381533
297.118179,62,105.49529
340.570211,74,105.625125
259.264086,51,105.70895
295.680997,58,105.798625
378.069638,76,105.932538
302.90408,58,108.469795
374.906443,74,108.608496
279.115204,59,108.71697
373.581878,75,108.849657
343.648653,75,108.999762
397.052325,84,109.127637
281.671197,59,109.238873
386.850628,88,109.368212
368.505366,73,109.494652
365.931604,73,109.624472
323.558193,63,109.73328
326.574309,66,109.83806
311.645052,63,109.937808
285.895298,64,110.051226
310.833771,66,110.189996
374.250338,76,110.309835
278.183297,64,110.401924
461.662379,87,110.539643
302.208099,68,110.639947
403.886293,87,110.793805
342.97968,64,110.892993
406.69425,77,111.027699
295.336501,62,111.13268
331.615701,70,111.24893
440.837057,83,111.380267
341.170597,67,111.496758
322.873309,63,111.607936
386.74881,79,111.752353
560.214452,116,114.576687
486.249416,96,114.745883
363.96986,70,114.843807
331.888202,67,114.938518
490.176004,102,115.086596
272.034805,61,115.180416
287.831808,57,115.297517
294.126968,58,115.391427
311.234499,60,115.474889
350.348239,69,115.582159
427.085928,86,115.70593
312.738474,65,115.800822
279.367584,54,115.880105
326.673264,69,115.997989
351.978546,80,116.129508
286.098963,58,116.233304
334.223256,70,116.356859
451.379313,91,116.532267
414.508162,81,116.660738
539.053699,110,116.850921
303.491931,60,116.947737
586.389843,110,117.120409
564.980748,115,117.303126
413.259818,83,117.458501
307.783471,64,117.591648
375.34547,73,117.708441
289.427712,58,117.800249
382.290341,91,120.562751
344.330034,69,120.704502
313.415998,62,120.806218
478.213457,86,120.926325
329.600263,71,121.02517
389.347821,81,121.142913
289.403803,70,121.252647
301.34631,58,121.344326
363.086866,72,121.458387
482.743168,108,121.624529
477.833833,97,121.768004
363.528538,80,121.88462
327.731518,66,121.984031
261.865093,62,122.080023
531.436625,109,122.252292
445.767664,86,122.398907
495.582609,107,122.587002
297.60469,65,122.677767
414.46965,80,122.792392
321.876333,63,122.890127
303.136346,59,122.979729
386.005696,75,123.109168
456.993041,94,123.261015
319.463463,60,123.35673
472.919483,95,123.505762
336.426661,67,123.598874
542.220838,121,126.53971
371.576395,71,126.644979
323.423729,62,126.756228
470.258381,92,126.935464
223.286389,47,127.02433
274.478768,63,127.109924
531.846831,104,127.275253
508.62566,100,127.415652
499.954082,117,127.622194
417.833017,88,127.753355
437.864955,84,127.887925
400.038472,80,128.014216
455.857311,87,128.13954
325.20457,62,128.224463
525.018737,100,128.370621
406.426595,77,128.494478
403.787203,79,128.623824
415.942903,78,128.73894
322.956295,73,128.856084
525.756381,111,129.030782
266.033073,59,129.117127
360.78683,77,129.231663
334.796308,67,129.332846
347.542166,69,129.434663
516.205124,101,129.59507
351.210844,74,132.412199
405.37567,76,132.517991
526.920741,108,132.665627
278.83122,54,132.739138
352.023737,69,132.835671
340.864626,72,132.9337
266.058521,61,133.015607
364.082023,71,133.112091
433.60037,92,133.239021
366.975381,77,133.346568
352.725484,67,133.438636
350.796122,65,133.5279
241.719654,53,133.602352
485.015455,94,133.730854
624.875202,117,133.894122
453.639657,88,134.013331
509.146395,100,134.146822
416.051923,95,134.275871
513.935561,101,134.41167
331.032948,65,134.499446
425.77944,94,134.62573
404.967291,87,134.743626
301.566303,63,134.828533
275.630565,59,134.907141
507.311592,106,135.050534
322.982459,70,135.147848
251.015275,51,138.33641
529.495857,118,138.496921
367.106816,73,138.593886
399.765749,93,138.721182
314.961192,65,138.808832
356.278294,69,138.90819
