#{"env_id": "Humanoid-v2", "t_start": 1530713429.5316768}
r,l,t
434.806572,88,97.662764
387.642845,74,97.77944
383.69152,73,97.935428
355.245665,71,98.065129
364.429449,69,98.21685
324.303144,69,98.32618
304.554601,58,98.42417
294.259513,58,98.517767
306.374747,66,98.640325
237.896934,52,98.737846
372.212212,81,98.885038
373.323227,71,98.996455
455.169865,93,99.151776
329.840236,65,99.271071
497.611354,93,99.455999
310.717379,73,99.596675
347.220706,71,99.726921
198.180793,42,99.794545
257.420461,52,99.880578
308.248904,61,99.997458
353.291457,72,100.163479
272.280246,54,102.487114
342.437042,66,102.614479
340.50124,76,102.776726
426.056842,83,102.936707
278.622545,60,103.058647
238.540129,50,103.132389
357.278633,71,103.245051
422.735857,83,103.396853
412.173812,89,103.563901
252.28954,50,103.657086
659.516315,134,103.891219
362.245633,74,104.02095
308.548637,65,104.131336
276.627265,53,104.21313
259.537755,50,104.284471
419.181976,82,104.403414
295.361582,59,104.491943
400.753131,92,104.66987
409.453069,78,104.792176
439.020612,86,104.945281
410.224088,84,105.083645
295.166127,58,105.188991
629.863814,132,105.443291
254.078564,56,105.551336
434.650023,84,105.682981
360.069859,72,105.809793
382.171788,74,105.946023
419.48102,84,108.278212
310.829042,62,108.393741
401.190809,80,108.543085
370.233144,71,108.672227
533.983442,115,108.903227
335.690975,69,109.041719
316.649324,61,109.131816
340.972573,68,109.233358
268.701146,54,109.320228
276.617415,59,109.41707
362.772878,68,109.533958
352.757469,68,109.646774
386.21744,76,109.766958
592.064228,115,109.966378
441.902792,89,110.129323
351.778768,69,110.26166
348.883564,80,110.396858
496.558787,103,110.557902
239.571498,50,110.633374
427.412678,83,110.758617
371.503999,71,110.869879
381.454059,75,111.034079
585.133106,132,111.257343
424.319698,80,111.388905
236.043252,49,111.459677
362.122082,72,111.564366
354.681254,68,111.672018
321.115596,62,114.391328
356.776254,67,114.537783
380.364671,80,114.699029
417.431373,97,114.858309
287.938595,57,114.981493
443.309135,96,115.140623
196.526499,42,115.20307
265.297022,59,115.300504
338.549366,67,115.411574
480.191205,103,115.610641
374.679878,79,115.777214
450.49245,83,115.932313
339.678211,64,116.049124
299.86099,62,116.164804
358.844538,70,116.313156
367.988465,71,116.439865
403.333203,78,116.584385
282.278484,65,116.706422
352.592045,85,116.839822
438.93675,83,116.992015
402.767369,92,117.186821
375.349222,72,117.314689
287.105379,56,117.400627
417.879183,84,117.529179
321.057035,63,117.62531
236.054748,47,117.691642
371.282903,69,117.805301
302.527557,70,117.914283
327.576141,64,118.022044
